purchaseorderid,purchaseorderdetailid,vendor_name,product_name,category,orderqty,unitprice,standardcost,vp_avg_price,price_deviation,price_deviation_pct,z_score,rejection_rate,line_total,anomaly_raw,is_anomaly,anomaly_flag,orderdate,order_year,order_month
1404,3184,Advanced Bicycles,Thin-Jam Hex Nut 9,,3,47.6805,0.0,47.483538461538465,0.19696153846153663,0.4147996228652482,0.2773500981126104,1.0,143.04,-0.746139717021913,True,High Rejection Rate,2024-12-11,2024.0,12.0
2904,6427,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,1.0,150.79,-0.7344022276192301,True,High Rejection Rate,2025-05-12,2025.0,5.0
3604,7954,Superior Bicycles,Front Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,1.0,45558.98,-0.715782459309855,True,High Rejection Rate,2025-07-07,2025.0,7.0
3604,7955,Superior Bicycles,Rear Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,1.0,45558.98,-0.715782459309855,True,High Rejection Rate,2025-07-07,2025.0,7.0
664,1487,Superior Bicycles,Rear Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,1.0,45558.98,-0.715782459309855,True,High Rejection Rate,2024-08-21,2024.0,8.0
664,1486,Superior Bicycles,Front Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,1.0,45558.98,-0.715782459309855,True,High Rejection Rate,2024-08-21,2024.0,8.0
2104,4691,SUPERSALES INC.,Decal 1,,1250,0.21,0.0,0.21,0.0,0.0,0.0,1.0,262.5,-0.6934187670876026,True,High Rejection Rate,2025-02-24,2025.0,2.0
2104,4692,SUPERSALES INC.,Decal 2,,1250,0.21,0.0,0.21,0.0,0.0,0.0,1.0,262.5,-0.6934187670876026,True,High Rejection Rate,2025-02-24,2025.0,2.0
744,1652,SUPERSALES INC.,Decal 2,,1250,0.21,0.0,0.21,0.0,0.0,0.0,1.0,262.5,-0.6934187670876026,True,High Rejection Rate,2024-08-28,2024.0,8.0
744,1651,SUPERSALES INC.,Decal 1,,1250,0.21,0.0,0.21,0.0,0.0,0.0,1.0,262.5,-0.6934187670876026,True,High Rejection Rate,2024-08-28,2024.0,8.0
4012,8843,Integrated Sport Products,"Short-Sleeve Classic Jersey, M",Clothing,6000,41.57,41.5723,41.57,0.0,0.0,0.0,0.0,249420.0,-0.6908539079961873,True,Abnormal Order Volume,2025-06-23,2025.0,6.0
4012,8842,Integrated Sport Products,"Short-Sleeve Classic Jersey, S",Clothing,6000,41.57,41.5723,41.57,0.0,0.0,0.0,0.0,249420.0,-0.6908539079961873,True,Abnormal Order Volume,2025-06-23,2025.0,6.0
